x0,x1,y
763.5298915791295,-23.604325735572843,0
666.9299754920056,62.720410458523645,0
417.62816032984676,167.56891687928322,0
654.2871602812974,271.11786692992473,0
815.3327545136244,247.691729659591,0
896.7774219183609,125.67149760301936,0
678.0217999940469,319.69726014668953,0
444.9095763435164,-10.48054856090593,0
623.6695634345594,225.5877567571387,0
607.6562558903937,132.34533954150416,1
687.5318986959686,109.01352242102898,1
708.7033255234662,19.739889666940826,0
811.2086759759226,34.439333977990174,0
654.6951210107501,75.70910388486112,1
575.6718979469011,117.73224611247247,1
425.42306455760934,107.07060290172976,0
618.7642423557668,347.10563955474936,0
700.8488529892197,69.35259696049403,1
718.5009220216202,90.84204349566812,1
576.3806838262614,78.90333445563442,0
649.0685024929476,161.61073437191777,1
551.3326595308773,27.438055905377283,0
573.543260517887,300.9692179886747,0
638.8672340702735,-6.435203939859633,0
727.5603861684926,83.52106055989273,0
660.4040249896406,178.46730187863625,1
511.8138045699295,146.5410202048875,0
792.1956806635858,194.94452083791307,0
647.2524103378221,206.60017952981178,1
572.7859982900578,140.1304768598873,1
324.1003772600436,495.09354989275744,1
272.3885861355441,322.1575230828383,0
490.7987441915842,292.327935444115,0
343.6215844921831,242.59290954958124,0
578.0622409679263,866.618021006876,0
498.7818806730068,565.5239632424745,0
489.32784507011365,262.52129494027764,0
625.1527041270888,641.6965790292517,0
375.7517645989368,612.6460407829424,1
480.75719580858276,619.612386548064,0
359.1425581408534,506.9352227247893,1
585.2556853244828,330.7515714104791,0
329.78004537301,661.7545185773942,1
322.9622171037581,597.2969727907683,1
585.7204375427839,617.1719084861716,0
379.91958118283964,643.6709573825896,1
146.80269129958236,644.4242853890784,0
117.1761664674006,775.5747009029448,0
381.74296131971045,584.2790258300408,1
112.60229845473538,546.8209003099405,0
338.8413118357841,671.8472857212272,0
264.85191988139866,575.5248216931332,1
94.77806350187447,580.4042511111592,0
323.7633160923752,603.0037057040954,1
560.5574113155344,736.313371288358,0
156.5349523197763,701.5362316818891,0
342.2059275879758,695.8155639572005,0
277.2387360237101,590.7676869973997,1
433.5179015176599,793.8675197962175,0
367.4761905666421,942.5689780250555,0
822.4787284730915,809.0571014257999,1
1006.1626813865756,768.6054089907548,0
829.0250750868962,839.3244366178673,1
424.2713448415233,816.7414960478343,0
999.1872327693188,442.9022369674284,0
381.32202327337023,800.9332529203386,0
774.056453318787,860.9665351116805,1
730.1210614603071,580.1817664015717,0
654.3475427044416,880.2941676860239,0
833.0440429638654,808.4109479813548,0
511.97633015532506,890.0711196532743,0
899.4474651196913,724.5064347543743,0
751.5579237840736,835.0490279476707,1
789.3387199127224,1035.799210670083,0
467.2382659771867,1111.1976654424543,0
422.9743159182663,824.1608229280591,0
1119.1504505213775,905.9466197072038,0
653.9384140438469,468.9938267966327,0
1079.872370838549,724.3426085547995,0
792.4079108532819,809.0844057923957,1
901.2378429114195,744.9215328414255,0
795.5327888101658,523.6458324295884,0
809.0312054615531,762.1503728279047,1
720.3730443295311,873.532944240409,1
505.74986701433465,617.718885697965,0
726.7916445023891,791.2864809496608,1
959.6112322019596,688.4230499055394,0
706.0536705455618,821.8222088200564,1
675.2952694717666,1059.77101672243,0
781.3406738273109,823.0684913302258,1
931.3019991174057,527.8525748585076,1
1155.8680896342248,201.10864681062895,0
892.1247060310886,434.5855507222362,1
940.327427605961,565.5139120187293,1
927.8942342139899,451.22955472217177,1
801.6990813949585,236.2069718940048,0
677.1307327681393,222.79506603974494,0
903.5421683465312,328.50556948618237,0
920.5413676903146,710.7297048174394,0
789.9339839071818,397.71121718972415,0
876.4813789208513,233.3717559325662,0
532.8783424954706,463.7327379805538,0
1138.478240707479,609.1107467807922,0
1078.586589426985,308.643431349279,0
